Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2022,73,Dominican Republic,5.569,5.426,5.712,1.536,1.227,0.351,0.623,0.083,0.195,1.553
2021,69,Dominican Republic,5.737,5.601,5.873,1.538,1.003,0.577,0.606,0.084,0.179,1.751
2020,74,Dominican Republic,5.545,5.405,5.685,1.106,0.879,0.555,0.581,0.101,0.144,2.178
2019,68,Dominican Republic,5.689,5.552,5.826,0.983,1.329,0.742,0.563,0.112,0.116,1.844
2024,141,DR Congo,3.469,3.331,3.608,0.544,0.929,0.278,0.6,0.151,0.061,0.906
2023,139,DR Congo,3.295,3.128,3.462,0.534,0.665,0.262,0.473,0.189,0.072,1.102
2022,133,DR Congo,3.207,3.02,3.394,0.531,0.784,0.105,0.375,0.183,0.068,1.162
2019,131,DR Congo,4.311,4.097,4.525,0.062,0.833,0.277,0.365,0.254,0.081,2.438
2024,62,Ecuador,5.965,5.848,6.083,1.299,1.32,0.702,0.712,0.058,0.066,1.808
2023,74,Ecuador,5.725,5.599,5.85,1.315,1.151,0.64,0.606,0.087,0.078,1.846
2022,74,Ecuador,5.559,5.436,5.682,1.343,1.173,0.476,0.56,0.079,0.069,1.86
2021,76,Ecuador,5.533,5.414,5.653,1.352,0.879,0.708,0.565,0.08,0.083,1.866
2020,67,Ecuador,5.764,5.653,5.875,0.935,0.806,0.64,0.56,0.107,0.062,2.653
2019,58,Ecuador,5.925,5.822,6.029,0.853,1.221,0.839,0.555,0.115,0.087,2.255
2024,135,Egypt,3.817,3.725,3.909,1.347,1.075,0.473,0.593,0.018,0.103,0.21
2023,127,Egypt,3.977,3.887,4.066,1.37,0.996,0.488,0.49,0.025,0.259,0.349
2022,121,Egypt,4.17,4.054,4.287,1.377,0.972,0.326,0.467,0.038,0.25,0.74
2021,129,Egypt,4.288,4.198,4.377,1.388,0.732,0.548,0.469,0.041,0.254,0.856
2020,133,Egypt,4.283,4.195,4.371,0.954,0.647,0.426,0.446,0.069,0.092,1.648
2019,138,Egypt,4.151,4.081,4.222,0.875,0.983,0.597,0.374,0.069,0.095,1.159
2024,37,El Salvador,6.492,6.365,6.619,1.222,1.228,0.559,0.955,0.054,0.264,2.211
2023,33,El Salvador,6.469,6.338,6.599,1.265,1.08,0.549,0.816,0.083,0.253,2.424
2022,50,El Salvador,6.122,5.986,6.257,1.278,1.044,0.383,0.713,0.079,0.222,2.403
2021,49,El Salvador,6.12,5.99,6.25,1.265,0.768,0.607,0.666,0.089,0.212,2.514
2020,50,El Salvador,6.061,5.933,6.188,0.845,0.675,0.565,0.615,0.116,0.16,3.085
2019,34,El Salvador,6.348,6.234,6.462,0.749,1.149,0.753,0.524,0.119,0.117,2.937
2024,39,Estonia,6.417,6.337,6.497,1.65,1.716,0.642,0.902,0.128,0.378,1.001
2023,34,Estonia,6.448,6.371,6.524,1.752,1.527,0.657,0.805,0.166,0.401,1.138
2022,31,Estonia,6.455,6.377,6.534,1.798,1.526,0.494,0.728,0.153,0.372,1.383
2021,36,Estonia,6.341,6.266,6.415,1.793,1.232,0.728,0.689,0.123,0.333,1.442
2020,41,Estonia,6.189,6.115,6.263,1.344,1.079,0.64,0.641,0.119,0.263,2.103
2019,51,Estonia,6.022,5.951,6.092,1.192,1.453,0.843,0.577,0.125,0.202,1.63
2024,137,Eswatini,3.774,3.654,3.893,1.183,1.152,0.038,0.428,0.054,0.13,0.79
2023,135,Eswatini,3.502,3.331,3.673,1.255,0.925,0.176,0.284,0.059,0.116,0.686
2021,125,Eswatini,4.396,4.185,4.607,1.274,0.786,0.197,0.259,0.038,0.154,1.688
2024,132,Ethiopia,3.898,3.786,4.011,0.757,1.051,0.416,0.54,0.182,0.1,0.852
2023,130,Ethiopia,3.861,3.725,3.997,0.792,0.915,0.42,0.441,0.27,0.101,0.923
2022,124,Ethiopia,4.091,3.908,4.273,0.793,1.114,0.25,0.451,0.283,0.101,1.099
2021,131,Ethiopia,4.241,4.118,4.365,0.788,0.809,0.457,0.472,0.205,0.136,1.375
2020,134,Ethiopia,4.275,4.175,4.374,0.37,0.679,0.331,0.451,0.241,0.114,2.089
2019,136,Ethiopia,4.186,4.11,4.262,0.315,1.001,0.484,0.413,0.228,0.117,1.628
2024,1,Finland,7.736,7.662,7.81,1.749,1.783,0.824,0.986,0.11,0.502,1.782
2023,1,Finland,7.741,7.667,7.815,1.844,1.572,0.695,0.859,0.142,0.546,2.082
2022,1,Finland,7.804,7.733,7.875,1.888,1.585,0.535,0.772,0.126,0.535,2.363
2021,1,Finland,7.821,7.756,7.886,1.892,1.258,0.775,0.736,0.109,0.534,2.518
2020,2,Finland,7.842,7.78,7.904,1.446,1.106,0.741,0.691,0.124,0.481,3.253
2019,1,Finland,7.809,7.748,7.87,1.285,1.5,0.961,0.662,0.16,0.478,2.763
2024,33,France,6.593,6.517,6.668,1.733,1.535,0.832,0.743,0.099,0.264,1.386
2023,27,France,6.609,6.533,6.685,1.818,1.348,0.727,0.65,0.112,0.281,1.672
